Year,FDI
01/01/1998,0.625285966
01/01/1999,0.472644846
01/01/2000,0.765212649
01/01/2001,1.056378305
01/01/2002,1.011571805
01/01/2003,0.605889255
01/01/2004,0.765601405
01/01/2005,0.88610072
01/01/2006,2.130168425
01/01/2007,2.073395746
01/01/2008,3.620521897
01/01/2009,2.651593127
01/01/2010,1.635034274
01/01/2011,2.002065027
01/01/2012,1.312934337
01/01/2013,1.516275965
01/01/2014,1.695658786
01/01/2015,2.092115754
