Date,Non-food credit,growth
01/06/2014,5980534,13.00647013
01/07/2014,5971788,12.79281858
01/08/2014,5979117,10.4765407
01/09/2014,6012995,9.270153641
01/10/2014,6135217,11.43927913
01/11/2014,6147834,10.9258921
01/12/2014,6210202,10.31524836
01/01/2015,6260926,10.53971043
01/02/2015,6326054,10.22409263
01/03/2015,6442002,9.267066318
01/04/2015,6488073,9.589296405
01/05/2015,6489806,9.533573103
01/06/2015,6519189,9.00679864
01/07/2015,6519410,9.170153025
01/08/2015,6536137,9.316101876
01/09/2015,6583153,9.482083492
01/10/2015,6692177,9.078084291
01/11/2015,6730228,9.473148576
01/12/2015,6877244,10.74106373
