Date,M3
1985-01-01,18.51532248
1985-02-01,18.48055693
1985-03-01,18.96660455
1985-04-01,18.03815361
1985-05-01,17.52637834
1985-06-01,15.37282062
1985-07-01,17.40330355
1985-08-01,17.2848137
1985-09-01,17.16246716
1985-10-01,16.57277859
1985-11-01,16.27818155
1985-12-01,14.4993313
1986-01-01,16.82888102
1986-02-01,16.46786025
1986-03-01,15.95317063
1986-04-01,16.7915074
1986-05-01,17.13661016
1986-06-01,17.61850504
1986-07-01,16.9779186
1986-08-01,16.80065214
1986-09-01,17.46974935
1986-10-01,17.00993436
1986-11-01,17.72645194
1986-12-01,18.46637387
1987-01-01,18.17453275
1987-02-01,18.26429073
1987-03-01,18.64024931
1987-04-01,18.18786367
1987-05-01,17.31147422
1987-06-01,17.14577343
1987-07-01,17.78518257
1987-08-01,17.99778744
1987-09-01,17.88914072
1987-10-01,18.22257544
1987-11-01,17.43878317
1987-12-01,16.96404834
1988-01-01,16.29854308
1988-02-01,16.35397909
1988-03-01,16.04838259
1988-04-01,16.15194573
1988-05-01,17.07672035
1988-06-01,14.65943918
1988-07-01,18.40428709
1988-08-01,17.58702765
1988-09-01,16.47283628
1988-10-01,16.47941966
1988-11-01,16.96944947
1988-12-01,20.74481938
1989-01-01,17.56766339
1989-02-01,17.17544765
1989-03-01,17.90650701
1989-04-01,18.70183421
1989-05-01,18.50637887
1989-06-01,21.55085679
1989-07-01,17.0626225
1989-08-01,18.37969194
1989-09-01,19.10442899
1989-10-01,20.28577409
1989-11-01,19.83280299
1989-12-01,16.43344317
1990-01-01,19.08561539
1990-02-01,19.99736991
1990-03-01,19.482841
1990-04-01,19.88204333
1990-05-01,18.67251765
1990-06-01,17.99533973
1990-07-01,17.83035961
1990-08-01,16.5707066
1990-09-01,16.85489087
1990-10-01,15.5472564
1990-11-01,15.94651522
1990-12-01,15.43108742
1991-01-01,15.22057863
1991-02-01,15.64594935
1991-03-01,15.22521198
1991-04-01,14.35991098
1991-05-01,15.97738422
1991-06-01,15.36466721
1991-07-01,15.24718535
1991-08-01,16.14496899
1991-09-01,16.01078152
1991-10-01,17.49885301
1991-11-01,18.54059852
1991-12-01,18.62117058
1992-01-01,19.45011127
1992-02-01,19.15592051
1992-03-01,19.32527763
1992-04-01,18.94679035
1992-05-01,19.2744008
1992-06-01,20.13601985
1992-07-01,20.8854421
1992-08-01,20.17242168
1992-09-01,18.86271308
1992-10-01,18.52920747
1992-11-01,16.59349069
1992-12-01,15.92185761
1993-01-01,15.43045048
1993-02-01,14.40725211
1993-03-01,14.79505946
1993-04-01,16.65273153
1993-05-01,14.98944217
1993-06-01,14.33224266
1993-07-01,14.11964529
1993-08-01,14.79420139
1993-09-01,15.14133309
1993-10-01,14.06728412
1993-11-01,15.28227269
1993-12-01,16.69575914
1994-01-01,17.57053016
1994-02-01,18.68942891
1994-03-01,18.31158602
1994-04-01,17.76377048
1994-05-01,18.36247338
1994-06-01,18.969915
1994-07-01,19.68468578
1994-08-01,18.75173373
1994-09-01,21.17791222
1994-10-01,22.09300798
1994-11-01,21.2369369
1994-12-01,20.37915079
1995-01-01,18.68808526
1995-02-01,18.3027559
1995-03-01,22.23527525
1995-04-01,17.34039052
1995-05-01,17.48772562
1995-06-01,17.12901844
1995-07-01,15.94311069
1995-08-01,16.79513922
1995-09-01,15.49790372
1995-10-01,14.98530061
1995-11-01,14.34911042
1995-12-01,14.5563829
1996-01-01,15.45152106
1996-02-01,15.20247565
1996-03-01,13.42251028
1996-04-01,16.05287099
1996-05-01,15.37421622
1996-06-01,16.40618861
1996-07-01,16.57236207
1996-08-01,16.15267248
1996-09-01,15.83297863
1996-10-01,14.96989119
1996-11-01,16.17838921
1996-12-01,16.22784332
1997-01-01,17.28934011
1997-02-01,17.30580834
1997-03-01,16.10755507
1997-04-01,16.32306507
1997-05-01,17.26716245
1997-06-01,16.8592054
1997-07-01,16.76285461
1997-08-01,16.43745682
1997-09-01,16.57719176
1997-10-01,17.41015402
1997-11-01,17.68321538
1997-12-01,17.52963855
1998-01-01,16.27995433
1998-02-01,16.95767007
1998-03-01,18.06158591
1998-04-01,18.23030177
1998-05-01,18.19503245
1998-06-01,17.89667183
1998-07-01,18.894415
1998-08-01,21.10544344
1998-09-01,21.17335375
1998-10-01,21.61148147
1998-11-01,20.30880284
1998-12-01,20.09026526
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
