Date,Exchangerate,change
01/06/2012,56.3090,25.90050307
01/07/2012,55.8070,26.36024001
01/08/2012,55.7215,21.14686379
01/09/2012,52.6970,7.731779618
01/10/2012,54.1175,10.70369234
01/11/2012,54.5265,4.496933691
01/12/2012,54.7773,2.858510938
01/01/2013,53.2890,7.296889157
01/02/2013,53.7735,9.865154766
01/03/2013,54.3893,6.312157936
01/04/2013,54.2190,3.234958111
01/05/2013,56.4958,0.129912712
01/06/2013,59.6995,6.021239944
01/07/2013,61.1150,9.511351623
01/08/2013,66.5742,19.47668315
01/09/2013,62.7770,19.12822362
01/10/2013,61.4100,13.47530836
01/11/2013,62.3948,14.43023117
01/12/2013,61.8970,12.9975373
01/01/2014,62.4768,17.24145696
01/02/2014,62.0720,15.43232261
01/03/2014,60.0998,10.49930777
01/04/2014,60.3375,11.28478946
01/05/2014,59.0335,4.491838331
01/06/2014,60.0933,0.659637015
01/07/2014,60.2460,-1.421909515
01/08/2014,60.4745,-9.162258052
01/09/2014,61.6135,-1.853385794
01/10/2014,61.4080,-0.003256799
01/11/2014,61.9736,-0.675056255
01/12/2014,63.3315,2.317559817
01/01/2015,61.7575,-1.151307365
01/02/2015,61.7908,-0.453022297
01/03/2015,62.5908,4.144772528
01/04/2015,63.5780,5.370623576
01/05/2015,63.7615,8.009011832
01/06/2015,63.7549,6.093191753
01/07/2015,64.0054,6.240082329
01/08/2015,66.3062,9.643238059
01/09/2015,65.7418,6.700317301
01/10/2015,65.2231,6.212708442
01/11/2015,66.8148,7.811713375
01/12/2015,66.3260,4.728294766
