date,index,rate
01/04/2010,65.03028371,13.33333333
01/05/2010,65.79534587,13.90728477
01/06/2010,66.56040803,13.7254902
01/07/2010,68.09053236,11.25
01/08/2010,68.09053236,9.87654321
01/09/2010,68.47306344,9.81595092
01/10/2010,69.2381256,9.696969697
01/11/2010,69.62065668,8.333333333
01/12/2010,70.76824992,9.467455621
01/01/2011,71.91584316,9.302325581
01/02/2011,70.76824992,8.823529412
01/03/2011,70.76824992,8.823529412
01/04/2011,71.150781,9.411764706
01/05/2011,71.53331208,8.720930233
01/06/2011,72.29837424,8.620689655
01/07/2011,73.82849857,8.426966292
01/08/2011,74.21102965,8.988764045
01/09/2011,75.35862289,10.05586592
01/10/2011,75.74115397,9.392265193
01/11/2011,76.12368505,9.340659341
01/12/2011,75.35862289,6.486486486
01/01/2012,75.74115397,5.319148936
01/02/2012,76.12368505,7.567567568
01/03/2012,76.88874721,8.648648649
01/04/2012,78.41887153,10.21505376
01/05/2012,78.80140261,10.16042781
01/06/2012,79.56646478,10.05291005
01/07/2012,81.0965891,9.844559585
01/08/2012,81.86165126,10.30927835
01/09/2012,82.24418234,9.137055838
01/10/2012,83.0092445,9.595959596
01/11/2012,83.39177558,9.547738693
01/12/2012,83.77430666,11.16751269
01/01/2013,84.53936882,11.61616162
01/02/2013,85.30443099,12.06030151
01/03/2013,85.68696207,11.44278607
01/04/2013,86.45202423,10.24390244
01/05/2013,87.21708639,10.67961165
01/06/2013,88.36467963,11.05769231
01/07/2013,89.89480395,10.8490566
01/08/2013,90.65986611,10.74766355
01/09/2013,91.04239719,10.69767442
01/10/2013,92.18999044,11.05990783
01/11/2013,92.9550526,11.46788991
01/12/2013,91.42492828,9.132420091
01/01/2014,90.65986611,7.239819005
01/02/2014,91.04239719,6.726457399
01/03/2014,91.42492828,6.696428571
01/04/2014,92.57252152,7.079646018
01/05/2014,93.33758368,7.01754386
01/06/2014,94.10264584,6.493506494
01/07/2014,96.39783232,7.234042553
01/08/2014,96.7803634,6.751054852
01/09/2014,96.7803634,6.302521008
01/10/2014,96.7803634,4.979253112
01/11/2014,96.7803634,4.115226337
01/12/2014,96.7803634,5.857740586
01/01/2015,97.16289449,7.172995781
01/02/2015,96.7803634,6.302521008
01/03/2015,97.16289449,6.276150628
01/04/2015,97.92795665,5.785123967
01/05/2015,98.69301881,5.737704918
01/06/2015,99.84061205,6.097560976
01/07/2015,100.6056742,4.365079365
01/08/2015,100.9882053,4.347826087
01/09/2015,101.7532675,5.138339921
01/10/2015,102.9008607,6.324110672
01/11/2015,103.2833918,6.719367589
01/12/2015,102.9008607,6.324110672
